i,j,id,m,pabs,e
13,8,25,124.999,70.4656,143.493
13,12,25,124.999,76.3627,146.479
13,17,25,124.999,77.6436,147.151
13,23,25,124.999,74.6985,145.618
13,101,25,124.999,74.7122,145.625
13,361,25,124.999,74.7063,145.622
13,834,25,124.999,74.7071,145.623
13,1093,23,90.9069,79.0104,120.444
13,1094,23,13.1695,21.4601,25.1788
13,1121,13,0.10566,3.40627,3.40791
13,1122,-13,0.10566,21.7706,21.7709
13,1123,13,0.10566,3.0764,3.07821
13,1125,-13,0.10566,21.7495,21.7498
13,1126,-13,0.10566,21.6595,21.6598
13,1128,13,0.10566,3.07498,3.0768
13,1129,-13,0.10566,21.411,21.4113
13,1131,13,0.10566,3.07477,3.07658
13,1929,15,1.77682,0.915523,1.99882
13,2340,11,0.000511,0.293365,0.293366
13,2341,-11,0.000511,0.0408405,0.0408437
14,5,25,125.001,250.404,279.87
14,16,25,125.001,248.402,278.08
14,73,25,125.001,248.592,278.251
14,91,25,125.001,248.367,278.05
14,138,25,125.001,248.397,278.077
14,575,25,125.001,248.393,278.073
14,595,25,125.001,248.457,278.13
14,796,23,89.1527,207.445,225.791
14,797,23,23.6107,46.7105,52.3387
14,798,15,1.77682,123.036,123.049
14,799,-15,1.77682,102.727,102.742
14,1411,13,0.10566,17.3057,17.306
15,5,25,125.003,57.2776,137.501
15,8,25,125.003,107.028,164.562
15,12,25,125.003,113.905,169.116
15,21,25,125.003,114.351,169.416
15,805,25,125.003,115.733,170.352
15,1069,23,86.1288,62.5814,106.464
15,1070,23,16.375,61.7535,63.8877
15,1109,11,0.000511,20.1166,20.1166
15,1110,-11,0.000511,43.771,43.771
16,5,25,125.027,212.414,246.478
16,8,25,125.027,216.781,250.251
16,15,25,125.027,222.429,255.16
16,21,25,125.027,226.852,259.024
16,67,25,125.027,226.647,258.844
16,97,25,125.027,226.668,258.863
16,122,23,31.1475,45.1251,54.831
16,123,23,84.3939,185.76,204.032
16,138,13,0.10566,16.7121,16.7124
16,139,-13,0.10566,187.319,187.319
16,140,-13,0.10566,175.681,175.681
16,142,13,0.10566,16.6375,16.6379
17,5,25,125.005,169.041,210.241
17,8,25,125.005,184.2,222.612
17,12,25,125.005,170.024,211.031
17,17,25,125.005,172.443,212.985
17,23,25,125.005,174.08,214.313
17,253,25,125.005,174.21,214.418
17,331,23,89.776,134.077,161.358
17,332,23,28.4225,44.8057,53.0603
17,374,15,1.77682,28.2312,28.2871
17,375,-15,1.77682,24.7094,24.7732
17,376,15,1.77682,27.3408,27.3985
17,378,-15,1.77682,24.3714,24.436
17,728,11,0.000511,0.137773,0.137774
17,729,-11,0.000511,0.104157,0.104158
18,5,25,124.999,287.399,313.406
18,8,25,124.999,290.078,315.864
18,12,25,124.999,312.615,336.679
18,17,25,124.999,313.45,337.455
18,26,25,124.999,314.381,338.32
18,134,25,124.999,314.742,338.655
18,247,25,124.999,314.87,338.774
18,519,25,124.999,314.911,338.813
18,666,25,124.999,315.15,339.034
18,877,23,10.0911,50.4601,51.4592
18,878,23,32.2495,285.761,287.575
18,879,13,0.10566,34.5855,34.5856
18,880,-13,0.10566,16.8732,16.8736
18,1537,13,0.10566,56.9699,56.97
18,1759,11,0.000511,0.00822511,0.00824097
18,1760,-11,0.000511,0.0117641,0.0117752
18,1816,11,0.000511,0.337237,0.337237
18,1817,-11,0.000511,0.770849,0.770849
18,1823,11,0.000511,0.0675077,0.0675096
18,1824,-11,0.000511,0.0540857,0.0540881
19,5,25,125,131.616,181.516
19,8,25,125,377.84,397.98
19,12,25,125,485.714,501.541
19,17,25,125,558.338,572.159
19,23,25,125,557.852,571.685
19,407,25,125,557.742,571.578
19,546,23,23.5623,88.0965,91.1931
19,547,23,90.4958,471.784,480.385
19,548,13,0.10566,9.6836,9.68418
19,549,-13,0.10566,81.5088,81.5089
20,5,25,124.993,47.2764,133.635
20,8,25,124.993,54.0707,136.187
20,122,25,124.993,52.855,135.709
20,343,25,124.993,53.0949,135.803
20,1196,25,124.993,53.8096,136.084
20,1570,23,30.6584,1.3274,30.6871
20,1571,23,90.8515,53.4267,105.396
20,1572,13,0.10566,15.3134,15.3137
20,1573,-13,0.10566,15.373,15.3734
20,2504,11,0.000511,11.2354,11.2354
20,2543,11,0.000511,0.0175058,0.0175133
20,2544,-11,0.000511,2.47784,2.47784
20,2788,11,0.000511,150.78,150.78
20,2789,-11,0.000511,16.5845,16.5845
21,5,25,125,195.976,232.447
21,8,25,125,204.644,239.8
21,12,25,125,203.163,238.537
21,17,25,125,203.553,238.87
21,26,25,125,203.685,238.982
21,34,25,125,203.929,239.191
21,100,25,125,203.816,239.094
21,130,23,51.0571,87.9502,101.696
21,131,23,73.5058,116.083,137.398
21,134,13,0.10566,18.6345,18.6348
21,135,-13,0.10566,118.764,118.764
21,136,-13,0.10566,118.652,118.652
21,138,13,0.10566,18.6345,18.6348
22,5,25,124.996,227.022,259.158
22,9,25,124.996,172.762,213.239
22,14,25,124.996,154.318,198.59
22,20,25,124.996,155.083,199.185
22,27,25,124.996,155.88,199.806
22,35,25,124.996,156.102,199.98
22,50,25,124.996,156.469,200.266
22,62,25,124.996,156.254,200.098
22,147,25,124.996,156.161,200.026
22,189,23,91.3757,74.8965,118.148
22,243,13,0.10566,33.4437,33.4439
22,244,-13,0.10566,84.7043,84.7043
22,461,11,0.000511,0.203054,0.203055
22,462,-11,0.000511,0.301582,0.301582
23,5,25,125,1725.77,1730.29
23,10,25,125,1624.13,1628.93
23,16,25,125,1603.68,1608.54
23,27,25,125,1600.89,1605.77
23,43,25,125,1600.79,1605.67
23,132,25,125,1600.88,1605.75
23,393,25,125,1600.89,1605.76
23,518,23,15.9745,98.1305,99.4223
23,519,23,90.6005,1503.62,1506.34
23,520,11,0.000511,67.391,67.391
23,521,-11,0.000511,32.0312,32.0312
23,522,-11,0.000511,23.2613,23.2613
23,524,11,0.000511,67.391,67.391
23,525,-11,0.000511,23.2612,23.2612
23,527,11,0.000511,67.391,67.391
23,1079,13,0.10566,15.5804,15.5807
23,1343,11,0.000511,0.295961,0.295961
23,1344,-11,0.000511,4.45254,4.45254
24,5,25,125.002,41.721,131.781
24,25,25,125.002,46.7944,133.474
24,99,25,125.002,47.3727,133.678
24,786,25,125.002,47.4799,133.716
24,1044,23,30.1971,16.6453,34.4809
24,1045,23,91.5333,38.3305,99.2349
24,1046,13,0.10566,13.1928,13.1933
24,1047,-13,0.10566,21.2873,21.2876
24,1048,13,0.10566,13.1928,13.1932
24,1050,-13,0.10566,21.2873,21.2876
24,2274,11,0.000511,3.39995,3.39995
24,2275,-11,0.000511,5.77748,5.77748
24,2284,11,0.000511,1.89778,1.89778
24,2285,-11,0.000511,3.74579,3.74579
24,2323,11,0.000511,0.0497925,0.0497951
24,2324,-11,0.000511,0.352059,0.352059
24,2456,11,0.000511,8.86898,8.86898
24,2457,-11,0.000511,5.37232,5.37232
24,2471,11,0.000511,2.6412,2.6412
24,2611,11,0.000511,1.42098,1.42098
24,2612,-11,0.000511,0.0804768,0.0804784
25,5,25,124.992,212.07,246.164
25,8,25,124.992,208.027,242.69
25,12,25,124.992,214.861,248.572
25,23,25,124.992,216.069,249.617
25,46,25,124.992,215.009,248.701
25,121,25,124.992,214.827,248.543
25,553,25,124.992,215.88,249.454
25,738,23,16.8245,62.1081,64.3466
25,739,23,90.6936,161.368,185.108
25,740,13,0.10566,23.8745,23.8747
25,741,-13,0.10566,40.4717,40.4718
25,742,-13,0.10566,41.6987,41.6988
25,744,13,0.10566,22.3687,22.3689
25,1533,11,0.000511,0.75687,0.75687
25,1534,-11,0.000511,0.61635,0.61635
25,1731,11,0.000511,0.435511,0.435511
25,1732,-11,0.000511,0.00266078,0.0027094
26,5,25,124.988,134.173,183.369
26,8,25,124.988,176.45,216.233
26,12,25,124.988,195.33,231.896
26,38,25,124.988,195.312,231.881
26,46,25,124.988,195.406,231.96
26,59,25,124.988,195.164,231.757
26,82,25,124.988,194.414,231.125
26,330,25,124.988,194.508,231.204
26,430,23,11.6746,7.7848,14.0321
26,431,23,88.4108,198.362,217.172
26,432,11,0.000511,7.27397,7.27397
26,433,-11,0.000511,6.75811,6.75811
26,434,-11,0.000511,6.57051,6.57051
26,436,11,0.000511,7.10927,7.10927
26,437,11,0.000511,7.07376,7.07376
26,439,-11,0.000511,6.57051,6.57051
26,1024,-11,0.000511,20.0201,20.0201
27,5,25,125.008,131.218,181.233
27,8,25,125.008,114.827,169.742
27,12,25,125.008,122.761,175.207
27,17,25,125.008,125.093,176.848
27,23,25,125.008,122.18,174.8
27,30,25,125.008,121.233,174.139
27,44,25,125.008,121.388,174.247
27,61,25,125.008,121.445,174.287
27,126,25,125.008,121.473,174.306
27,206,25,125.008,121.613,174.404
27,255,23,10.8327,56.1775,57.2124
27,256,23,93.1196,71.1518,117.191
27,257,11,0.000511,52.2676,52.2676
