i,j,id,m,px,py,pz
854,580,13,0.10566,-6.06277,11.7806,-9.75671
854,581,-13,0.10566,40.0009,-19.8143,131.186
854,1030,13,0.10566,-0.751365,0.0325545,0.62649
854,1159,11,0.000511,0.00947034,0.0410136,0.0344241
854,1160,-11,0.000511,-0.0319557,-0.0222946,0.049386
855,262,15,1.77682,-12.0878,37.7842,-42.369
855,263,-15,1.77682,-6.69999,-43.9435,-84.3428
855,619,13,0.10566,-0.0100642,0.0613425,96.5259
855,620,-13,0.10566,0.121302,0.148461,54.1342
856,1253,13,0.10566,-2.40933,11.9881,-9.99063
856,1254,-13,0.10566,-27.9994,-10.2553,-15.9755
856,2125,13,0.10566,0.279972,-1.00281,-41.0367
856,2248,11,0.000511,-0.411804,-0.612,16.3142
856,2249,-11,0.000511,-0.399128,-0.594321,16.0694
856,2607,-13,0.10566,-0.451873,0.0942052,-2.92887
856,2737,11,0.000511,0.0204719,-0.0496416,0.682964
856,2738,-11,0.000511,0.0054849,-0.0322589,0.181125
857,1210,15,1.77682,-13.6737,29.9029,59.1554
857,1211,-15,1.77682,3.02564,1.9835,0.992189
857,2070,13,0.10566,-6.66837,15.7368,30.552
857,2149,11,0.000511,0.0657373,-0.178336,-20.7847
857,2150,-11,0.000511,0.0044045,-0.0333715,-3.83163
857,2332,11,0.000511,0.00148855,0.0247309,-0.0180502
857,2333,-11,0.000511,0.00302279,0.0272516,-0.0189675
857,2455,11,0.000511,-0.0487736,-0.01198,-14.122
857,2456,-11,0.000511,-0.125474,-0.0271478,-36.8565
857,2479,11,0.000511,3.68115,3.03762,19.7562
857,2575,11,0.000511,-0.0264524,-0.0365028,0.298977
857,2576,-11,0.000511,-0.015406,-0.0230645,0.181976
857,2580,11,0.000511,0.00357066,-0.00215109,-0.0551229
857,2581,-11,0.000511,0.0943219,-0.0613278,-1.21868
857,2634,11,0.000511,-0.0525701,0.184673,-0.412228
857,2635,-11,0.000511,-0.00082587,0.0149301,-0.0114406
858,290,11,0.000511,-18.2254,-0.0773356,13.798
858,291,-11,0.000511,-7.63143,10.3317,3.53632
859,667,15,1.77682,-4.629,1.55016,-340.162
859,668,-15,1.77682,2.02728,12.6002,-117.501
859,1248,11,0.000511,-0.165952,0.156157,-1.56774
859,1249,-11,0.000511,-0.684419,0.727168,-6.65661
859,1388,11,0.000511,0.0118275,0.0190701,-0.0159076
859,1389,-11,0.000511,0.208152,0.278403,-0.375915
860,900,11,0.000511,18.5704,7.3436,100.835
860,901,-11,0.000511,-7.66832,22.4534,45.3817
860,1786,11,0.000511,0.0530877,0.0312555,14.9739
860,1787,-11,0.000511,0.0491528,0.0288213,13.673
860,1821,11,0.000511,0.0676596,0.0142436,0.686456
860,1822,-11,0.000511,0.0983807,0.0201022,0.986261
860,1838,11,0.000511,0.0466751,-0.0623945,0.140872
860,1839,-11,0.000511,0.0253195,-0.0343544,0.0797539
860,1926,11,0.000511,-0.0214763,0.0399737,0.295412
860,1927,-11,0.000511,-0.0669656,0.113239,0.832544
861,465,13,0.10566,-17.3443,10.3681,3.06233
861,466,-13,0.10566,-18.9912,-2.45582,253.775
861,467,13,0.10566,-14.6156,7.68454,2.31277
861,469,-13,0.10566,-18.9775,-2.45405,253.592
861,470,13,0.10566,-14.6154,7.68444,2.3127
861,472,-13,0.10566,-18.9775,-2.45405,253.592
861,1002,11,0.000511,2.12909,0.166216,52.2934
